date,2y_par_yield,5y_par_yield,10y_par_yield,usd_vnd_central,usd_vnd_market,deposit_rate,lending_rate,us_10y_yield,us_2y_yield,dxy_trade_weighted,cpi_vn_index,cpi_yoy_pct,cpi_mom_pct,sbv_refinancing_pct,sbv_discount_pct
1992-01,,,,,,,,7.032380952380953,4.958095238095238,,17.6045821555,,,,
1992-02,,,,,,,,7.337894736842105,5.212105263157895,,17.6045821555,,,,
1992-03,,,,,,,,7.542272727272728,5.6850000000000005,,17.6045821555,,,,
1992-04,,,,,,,,7.480476190476191,5.344285714285714,,17.6045821555,,,,
1992-05,,,,,,,,7.392,5.2255,,17.6045821555,,,,
1992-06,,,,,,,,7.261818181818182,5.048181818181818,,17.6045821555,,,,
1992-07,,,,,,,,6.844545454545455,4.3554545454545455,,17.6045821555,,,,
1992-08,,,,,,,,6.585714285714286,4.192857142857143,,17.6045821555,,,,
1992-09,,,,,,,,6.415238095238095,3.894285714285714,,17.6045821555,,,,
1992-10,,,,,,,,6.589047619047619,4.082857142857143,,17.6045821555,,,,
1992-11,,,,,,26.25,26.82,6.873157894736842,4.579473684210527,,17.6045821555,,,,
1992-12,,,,,,26.25,37.67,6.77,4.673636363636363,,17.6045821555,,,,
1993-01,,,,,,26.25,37.67,6.6000000000000005,4.39,,5.2804473408,,,,
1993-02,,,,,,26.25,37.67,6.258947368421053,4.098421052631579,,5.2804473408,,,,
1993-03,,,,,,26.25,37.67,5.975217391304348,3.9495652173913043,,5.2804473408,,,,
1993-04,,,,,,22.01,31.37,5.9695238095238095,3.837619047619048,,5.2804473408,,,,
1993-05,,,,,,22.01,31.37,6.0355,3.9770000000000003,,5.2804473408,,,,
1993-06,,,,,,22.01,31.37,5.962727272727273,4.163636363636363,,5.2804473408,,,,
1993-07,,,,,,22.01,31.37,5.805238095238095,4.071904761904762,,5.2804473408,,,,
1993-08,,,,,,22.01,31.37,5.677727272727273,4.001363636363636,,5.2804473408,,,,
1993-09,,,,,,22.01,31.37,5.36,3.8471428571428574,,5.2804473408,,,,
1993-10,,,,,,17.89,28.32,5.334,3.8745,,5.2804473408,,,,
1993-11,,,,,,17.89,28.32,5.724,4.1555,,5.2804473408,,,,
1993-12,,,,,,17.89,28.32,5.774090909090909,4.212272727272727,,5.2804473408,,,,
1994-01,,,,,,,,5.750500000000001,4.14,,15.4751856153,,,,
1994-02,,,,,,,,5.9731578947368416,4.474210526315789,,15.4751856153,,,,
1994-03,,,,,,,,6.482608695652174,4.995217391304348,,15.4751856153,,,,
1994-04,,,,,,,,6.972105263157895,5.549473684210526,,15.4751856153,,,,
1994-05,,,,,,,,7.183333333333333,5.968095238095238,,15.4751856153,,,,
1994-06,,,,,,,,7.101363636363636,5.931363636363637,,15.4751856153,,,,
1994-07,,,,,,,,7.298,6.13,,15.4751856153,,,,
1994-08,,,,,,,,7.236086956521739,6.177391304347827,,15.4751856153,,,,
1994-09,,,,,,,,7.457142857142857,6.392380952380953,,15.4751856153,,,,
1994-10,,,,,,,,7.744,6.7284999999999995,,15.4751856153,,,,
1994-11,,,,,,,,7.955,7.1485,,15.4751856153,,,,
1994-12,,,,,,,,7.813809523809524,7.58952380952381,,15.4751856153,,,,
1995-01,,,,,,,,7.7795000000000005,7.507,,29.8643784119,,,,
1995-02,,,,,,,,7.469473684210525,7.111578947368422,,29.8643784119,,,,
1995-03,,,,,,,,7.204782608695653,6.775652173913044,,29.8643784119,,,,
1995-04,,,,,,,,7.062631578947368,6.5678947368421055,,29.8643784119,,,,
1995-05,,,,,,,,6.632727272727274,6.170909090909091,,29.8643784119,,,,
1995-06,,,,,,,,6.168181818181818,5.715909090909091,,29.8643784119,,,,
1995-07,,,,,,,,6.2780000000000005,5.779999999999999,,29.8643784119,,,,
1995-08,,,,,,,,6.488260869565217,5.980869565217391,,29.8643784119,,,,
1995-09,,,,,,,,6.1975,5.806,,29.8643784119,,,,
1995-10,,,,,,,,6.044761904761905,5.6971428571428575,,29.8643784119,,,,
1995-11,,,,,,,,5.93047619047619,5.478571428571429,,29.8643784119,,,,
1995-12,,,,,,,,5.7115,5.3245,,29.8643784119,,,,
1996-01,,,,,,,21.0,5.652380952380953,5.112380952380953,,9.2081588122,,,,
