report_period,fiscal_year,Total Assets,Owner's Equity
year,2021,13924612376531.0,8247560732814.0
year,2022,18967071946667.0,8213962257245.0
year,2023,21651893357725.0,8407432424176.0
year,2024,27076862120048.0,8688770305789.0
year,2025,34442241560980.0,9385337105554.0
