date,gold_usd_oz,usd_vnd,usd_cny
2009-07-21,,16855.0,6.821599960327148
2009-07-22,953.0,16855.0,6.821700096130371
2009-07-23,954.5,17529.0,6.822500228881836
2009-07-24,952.7999877929688,,
2009-07-26,,16850.0,6.821400165557861
2009-07-27,953.2999877929688,16850.0,6.820899963378906
2009-07-28,939.0,16855.0,6.822400093078613
2009-07-29,927.2000122070312,16850.0,6.8225998878479
2009-07-30,934.9000244140625,16865.0,6.8221001625061035
2009-07-31,953.7000122070312,,
2009-08-02,,17525.0,6.821000099182129
2009-08-03,956.5999755859375,16860.0,6.820300102233887
2009-08-04,967.5,16850.0,6.821700096130371
2009-08-05,964.2000122070312,17534.0,6.821300029754639
2009-08-06,960.7000122070312,16855.0,6.821800231933594
2009-08-07,957.2999877929688,,
2009-08-09,,16855.0,6.824699878692627
2009-08-10,945.0,16855.0,6.824999809265137
2009-08-11,945.7999877929688,16850.0,6.825099945068359
2009-08-12,950.7000122070312,16855.0,6.823500156402588
2009-08-13,954.7000122070312,16850.0,6.823400020599365
2009-08-14,947.0,,
2009-08-16,,16855.0,6.824900150299072
2009-08-17,934.2999877929688,17700.0,6.82450008392334
2009-08-18,937.7000122070312,17700.0,6.826399803161621
2009-08-19,943.2999877929688,17735.0,6.821800231933594
2009-08-20,940.2999877929688,17730.0,6.821499824523926
2009-08-21,953.2000122070312,,
2009-08-23,,17523.0,6.821499824523926
2009-08-24,942.2999877929688,17534.0,6.821700096130371
2009-08-25,944.5,17700.0,6.821400165557861
2009-08-26,944.2999877929688,17710.0,6.821800231933594
2009-08-27,945.5,17605.0,6.821199893951416
2009-08-28,957.0,,
2009-08-30,,17725.0,6.821199893951416
2009-08-31,951.7000122070312,17700.0,6.820400238037109
2009-09-01,954.7000122070312,17700.0,6.820799827575684
2009-09-02,976.5999755859375,17725.0,6.820700168609619
2009-09-03,995.7999877929688,17725.0,6.820499897003174
2009-09-04,994.9000244140625,,
2009-09-06,,17543.0,6.820300102233887
2009-09-07,,17700.0,6.817599773406982
2009-09-08,997.9000244140625,17725.0,6.81820011138916
2009-09-09,995.2999877929688,17506.0,6.819399833679199
2009-09-10,995.4000244140625,17700.0,6.817299842834473
2009-09-11,1004.9000244140625,,
2009-09-13,,17700.0,6.818699836730957
2009-09-14,999.9000244140625,17502.0,6.818999767303467
2009-09-15,1005.0,17800.0,6.817399978637695
2009-09-16,1018.9000244140625,17543.0,6.8165998458862305
2009-09-17,1012.2999877929688,17558.0,6.8180999755859375
2009-09-18,1009.2000122070312,,
2009-09-20,,17534.0,6.818900108337402
2009-09-21,1003.7000122070312,17730.0,6.816999912261963
2009-09-22,1014.2000122070312,17700.0,6.816100120544434
2009-09-23,1013.0,17701.0,6.816800117492676
2009-09-24,997.5,17578.0,6.818900108337402
2009-09-25,990.2000122070312,,
2009-09-27,,17578.0,6.81820011138916
2009-09-28,992.5,17534.0,6.817599773406982
2009-09-29,993.0999755859375,17720.0,6.816400051116943
2009-09-30,1008.0,17576.0,6.816500186920166
2009-10-01,999.5,17500.0,6.816500186920166
2009-10-02,1003.2000122070312,,
2009-10-04,,17615.0,6.816400051116943
2009-10-05,1016.7000122070312,17615.0,6.816400051116943
2009-10-06,1038.5999755859375,17580.0,6.816500186920166
2009-10-07,1043.300048828125,17800.0,6.816500186920166
2009-10-08,1055.4000244140625,17615.0,6.815400123596191
2009-10-09,1047.800048828125,,
2009-10-11,,17581.0,6.815100193023682
2009-10-12,1056.699951171875,17546.0,6.815899848937988
2009-10-13,1064.199951171875,17815.0,6.814799785614014
2009-10-14,1063.9000244140625,17800.0,6.815800189971924
2009-10-15,1049.800048828125,17800.0,6.816999912261963
2009-10-16,1050.699951171875,,
2009-10-18,,17805.0,6.8165998458862305
2009-10-19,1057.300048828125,17805.0,6.816100120544434
2009-10-20,1057.800048828125,17805.0,6.8171000480651855
2009-10-21,1063.699951171875,17805.0,6.817299842834473
2009-10-22,1057.800048828125,17815.0,6.8180999755859375
2009-10-23,1055.5999755859375,,
2009-10-26,1042.0999755859375,17825.0,6.817800045013428
2009-10-27,1034.699951171875,17835.0,6.820099830627441
2009-10-28,1029.9000244140625,17651.0,6.81879997253418
2009-10-29,1046.4000244140625,17840.0,6.8196001052856445
2009-10-30,1039.699951171875,17676.0,6.817500114440918
2009-11-02,1053.4000244140625,17840.0,6.818900108337402
2009-11-03,1084.300048828125,17841.0,6.817999839782715
2009-11-04,1086.699951171875,17835.0,6.818600177764893
2009-11-05,1088.699951171875,17825.0,6.817599773406982
2009-11-06,1095.0999755859375,17820.0,6.817399978637695
2009-11-09,1100.800048828125,17825.0,6.816500186920166
