period,report_period,ticker,CURRENT ASSETS,Cash and cash equivalents,Cash,Cash equivalents,Short-term investments,_Short-term investments,__Short-term investments,___Short-term investments,Accounts receivable,Trade accounts receivable,Prepayments to suppliers,Intercompany receivables,Construction contract in progress receivables,Other receivables,"Inventories, Net",Inventories,Other current assets,_Other current assets,Short-term prepayments,VAT to be claimed,Other taxes receivable,__Other current assets,___Other current assets,LONG-TERM ASSETS,Long-term trade receivables,Long-term trade receivables from customers,Long-term intercompany receivables,Other long-term receivables,Fixed assets,Tangible fixed assets,Cost,_Cost,__Cost,___Cost,Accumulated depreciation,_Accumulated depreciation,__Accumulated depreciation,___Accumulated depreciation,Finance lease assets,____Cost,_____Cost,______Cost,_______Cost,____Accumulated depreciation,_____Accumulated depreciation,______Accumulated depreciation,_______Accumulated depreciation,Intangible fixed assets,________Cost,_________Cost,__________Cost,___________Cost,________Accumulated depreciation,_________Accumulated depreciation,__________Accumulated depreciation,___________Accumulated depreciation,Construction in progress (before 2015),Investment properties,____________Cost,_____________Cost,______________Cost,_______________Cost,____________Accumulated depreciation,_____________Accumulated depreciation,______________Accumulated depreciation,_______________Accumulated depreciation,Long-term investments,Investments in associates,Other long-term investments,Goodwill (before 2015),Other long-term assets,_Other long-term assets,Long-term prepayments,Deferred income tax assets,__Other long-term assets,___Other long-term assets,Total Assets,Liabilities,Current liabilities,Short-term borrowings,Trade accounts payable,Advances from customers,Taxes and other payable to State Budget,Payable to employees,Accrued expenses,Intercompany payables,Construction contract in progress payables,Other payables,Bonus and welfare funds,Long-term liabilities,Long-term trade payables,Long-term intercompany payables,Other long-term payables,Long-term borrowings,Deferred income tax liabilities,Deferred revenue,Technology-science development fund,Owner's Equity,Capital and reserves,Paid-in capital,Share premium,Owner's other capital,Treasury shares,Differences upon asset revaluation,Foreign exchange differences,Investment and development funds,Financial reserve funds,Other funds,Undistributed earnings,Enterprise arrangement fund,Budget sources and other funds,_Budget sources and other funds,Bonus and welfare funds (Before 2010),__Budget sources and other funds,___Budget sources and other funds,Minority interests (Before 2015),Total resource,Preferred shares,_Preferred shares,Held-to-maturity investment,_Held-to-maturity investment,Shortage of current assets waiting for solution,Short-term loans receivables,Government bonds purchased for resale,_Government bonds purchased for resale,Long-term prepayments to suppliers,Long-term loans receivables,Long-term incomplete assets,Long-term cost of work in progress,__Held-to-maturity investment,___Held-to-maturity investment,"Long-term equipment, material and spare parts",Short-term unrealized revenue,Price stabilization fund,__Government bonds purchased for resale,___Government bonds purchased for resale,Long-term advances from customers,Long-term accrued expenses,Intra-company payables for operating capital received,Convertible bonds,__Preferred shares,___Preferred shares,Common shares,Conversion options on convertible bonds,Beginning accumulated undistributed earnings,Current period undistributed earnings,Construction in progress,Goodwill,Minority interests
2018-Q3,quarter,PNJ,4491049840793.0,117587302131.0,117587302131.0,0.0,0.0,0.0,0.0,0.0,171250035910.0,68342873558.0,55978181269.0,0.0,0.0,46706677475.0,4124177973673.0,4124177973673.0,78034529079.0,0.0,74771861813.0,225278740.0,3037388526.0,78034529079.0,0.0,990183116721.0,51390752399.0,0.0,0.0,51390752399.0,684360427987.0,224935778959.0,442861017336.0,0.0,466255407873.0,0.0,-217925238377.0,0.0,-6830758845.0,0.0,0.0,442861017336.0,0.0,466255407873.0,0.0,-217925238377.0,0.0,-6830758845.0,0.0,459424649028.0,442861017336.0,0.0,466255407873.0,0.0,-217925238377.0,0.0,-6830758845.0,0.0,0.0,0.0,442861017336.0,0.0,466255407873.0,0.0,-217925238377.0,0.0,-6830758845.0,0.0,0.0,0.0,395271613400.0,0.0,167087146345.0,0.0,85593804241.0,81493342104.0,167087146345.0,0.0,5481232957514.0,2098971628269.0,2072792761269.0,1286629994818.0,238769179301.0,66178193807.0,126713476707.0,125329930398.0,68827146590.0,0.0,0.0,89731940091.0,70612899557.0,26178867000.0,0.0,0.0,628026000.0,18474524000.0,0.0,0.0,0.0,3382261329245.0,3382261329245.0,1621393240000.0,876761282458.0,0.0,-7090000.0,0.0,0.0,265087556918.0,0.0,0.0,619026339869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5481232957514.0,,0.0,0.0,0.0,222303608.0,0.0,0.0,0.0,0.0,0.0,87344789990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1621393240000.0,0.0,86780546381.0,532245793488.0,87344789990.0,0.0,0.0
2018-Q4,quarter,PNJ,5280216054578.0,206721179629.0,206721179629.0,0.0,0.0,0.0,0.0,0.0,175780393688.0,79066643790.0,57981679200.0,0.0,0.0,36637359679.0,4815524650057.0,4815524650057.0,82189831204.0,0.0,74326002109.0,643511019.0,7220318076.0,82189831204.0,0.0,1022969076235.0,57498444869.0,0.0,0.0,57498444869.0,719287274744.0,225960569846.0,454178423940.0,0.0,499937407873.0,0.0,-228217854094.0,0.0,-6610702975.0,0.0,0.0,454178423940.0,0.0,499937407873.0,0.0,-228217854094.0,0.0,-6610702975.0,0.0,493326704898.0,454178423940.0,0.0,499937407873.0,0.0,-228217854094.0,0.0,-6610702975.0,0.0,0.0,0.0,454178423940.0,0.0,499937407873.0,0.0,-228217854094.0,0.0,-6610702975.0,0.0,0.0,0.0,395271613400.0,0.0,178199566632.0,0.0,96381505058.0,81818061574.0,178199566632.0,0.0,6303185130813.0,2557872112611.0,2542367769611.0,1558482498026.0,290712774787.0,103181369233.0,150202223094.0,228776696273.0,10434942251.0,0.0,0.0,137597311522.0,62979954425.0,15504343000.0,0.0,0.0,628026000.0,7800000000.0,0.0,0.0,0.0,3745313018202.0,3745313018202.0,1670029820000.0,925397862458.0,0.0,-7090000.0,0.0,0.0,265087556918.0,0.0,0.0,884804868826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6303185130813.0,,0.0,0.0,0.0,2094711019.0,0.0,0.0,0.0,0.0,0.0,67983789990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1670029820000.0,0.0,86780546381.0,798024322445.0,67983789990.0,0.0,0.0
2019-Q1,quarter,PNJ,5065794862560.0,94972214431.0,94972214431.0,0.0,0.0,0.0,0.0,0.0,263389389780.0,147395582659.0,62743702172.0,0.0,0.0,50950513401.0,4643581939618.0,4643581939618.0,63851318731.0,0.0,59677075602.0,2192126318.0,1982116811.0,63851318731.0,0.0,1086357374791.0,59632337327.0,0.0,0.0,59632337327.0,723934807053.0,231902366695.0,470876231899.0,0.0,501602243873.0,0.0,-238973865204.0,0.0,-9569803515.0,0.0,0.0,470876231899.0,0.0,501602243873.0,0.0,-238973865204.0,0.0,-9569803515.0,0.0,492032440358.0,470876231899.0,0.0,501602243873.0,0.0,-238973865204.0,0.0,-9569803515.0,0.0,0.0,0.0,470876231899.0,0.0,501602243873.0,0.0,-238973865204.0,0.0,-9569803515.0,0.0,0.0,0.0,395271613400.0,0.0,190175808175.0,0.0,104823983337.0,85351824838.0,190175808175.0,0.0,6152152237351.0,2111934312567.0,2096859969567.0,1103495374698.0,341049411915.0,70557838216.0,196591449393.0,152418916761.0,90365176372.0,0.0,0.0,85559376981.0,56822425231.0,15074343000.0,0.0,0.0,598026000.0,7400000000.0,0.0,0.0,0.0,4040217924784.0,4040217924784.0,1670029820000.0,925397862458.0,0.0,-7090000.0,0.0,0.0,265087556918.0,0.0,0.0,1179709775408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6152152237351.0,,0.0,0.0,0.0,2299591548.0,0.0,0.0,0.0,0.0,0.0,112614422236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1670029820000.0,0.0,750963460128.0,428746315280.0,112614422236.0,0.0,0.0
2019-Q2,quarter,PNJ,5333229717294.0,121615518832.0,121615518832.0,0.0,0.0,0.0,0.0,0.0,219769348628.0,93164620545.0,113793516156.0,0.0,0.0,11603124204.0,4934047011207.0,4934047011207.0,57797838627.0,0.0,52797830421.0,3502561606.0,1497446600.0,57797838627.0,0.0,1193267841816.0,61170071942.0,0.0,0.0,61170071942.0,810221547394.0,255310823066.0,503270415377.0,0.0,567432243873.0,0.0,-247959592311.0,0.0,-12521519545.0,0.0,0.0,503270415377.0,0.0,567432243873.0,0.0,-247959592311.0,0.0,-12521519545.0,0.0,554910724328.0,503270415377.0,0.0,567432243873.0,0.0,-247959592311.0,0.0,-12521519545.0,0.0,0.0,0.0,503270415377.0,0.0,567432243873.0,0.0,-247959592311.0,0.0,-12521519545.0,0.0,0.0,0.0,395271613400.0,0.0,208173157692.0,0.0,122821332854.0,85351824838.0,208173157692.0,0.0,6526497559110.0,2433963524658.0,2422425738658.0,1447517973488.0,305687913517.0,81603564435.0,132280576545.0,199871808348.0,40345318145.0,0.0,0.0,114553967182.0,100564616998.0,11537786000.0,0.0,0.0,476006000.0,7400000000.0,0.0,0.0,0.0,4092534034452.0,4092534034452.0,2226679600000.0,925397862458.0,0.0,-7090000.0,0.0,0.0,313083556918.0,0.0,0.0,627380105076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6526497559110.0,,0.0,0.0,0.0,1208087723.0,0.0,0.0,0.0,0.0,0.0,113703064788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2226679600000.0,0.0,29482225528.0,597897879548.0,113703064788.0,0.0,0.0
2019-Q3,quarter,PNJ,6396512783624.0,96330641186.0,96330641186.0,0.0,0.0,0.0,0.0,0.0,329967505655.0,200155139928.0,115276318562.0,0.0,0.0,12944421138.0,5892523509005.0,5892523509005.0,77691127778.0,0.0,62420873210.0,4580359669.0,10689894899.0,77691127778.0,0.0,1229039043471.0,66585290259.0,0.0,0.0,66585290259.0,899585263279.0,259767826448.0,518052423501.0,0.0,655212837322.0,0.0,-258284597053.0,0.0,-15395400491.0,0.0,0.0,518052423501.0,0.0,655212837322.0,0.0,-258284597053.0,0.0,-15395400491.0,0.0,639817436831.0,518052423501.0,0.0,655212837322.0,0.0,-258284597053.0,0.0,-15395400491.0,0.0,0.0,0.0,518052423501.0,0.0,655212837322.0,0.0,-258284597053.0,0.0,-15395400491.0,0.0,0.0,0.0,395271613400.0,0.0,234365501693.0,0.0,149013676855.0,85351824838.0,234365501693.0,0.0,7625551827095.0,3505252235260.0,3493714449260.0,2266464058852.0,451958758322.0,76729280441.0,158867495026.0,210998887668.0,142100382129.0,0.0,0.0,91504452598.0,95091134224.0,11537786000.0,0.0,0.0,476006000.0,7400000000.0,0.0,0.0,0.0,4120299591835.0,4120299591835.0,2226679600000.0,925397862458.0,0.0,-2101090000.0,0.0,0.0,313083556918.0,0.0,0.0,657239662459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7625551827095.0,,0.0,0.0,0.0,1591626027.0,0.0,0.0,0.0,0.0,0.0,28502988240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2226679600000.0,0.0,29482225528.0,627757436931.0,28502988240.0,0.0,0.0
2019-Q4,quarter,PNJ,7330560395743.0,95224439008.0,95224439008.0,0.0,0.0,0.0,0.0,0.0,138567465634.0,46187271392.0,72063365836.0,0.0,0.0,19076788017.0,7018737129550.0,7018737129550.0,78031361551.0,0.0,71633378895.0,6306692920.0,91289736.0,78031361551.0,0.0,1269751574731.0,70721623109.0,0.0,0.0,70721623109.0,923870354474.0,263827234353.0,534818699342.0,0.0,679619883005.0,0.0,-270991464989.0,0.0,-19576762884.0,0.0,0.0,534818699342.0,0.0,679619883005.0,0.0,-270991464989.0,0.0,-19576762884.0,0.0,660043120121.0,534818699342.0,0.0,679619883005.0,0.0,-270991464989.0,0.0,-19576762884.0,0.0,0.0,0.0,534818699342.0,0.0,679619883005.0,0.0,-270991464989.0,0.0,-19576762884.0,0.0,0.0,0.0,395271613400.0,0.0,246702198714.0,0.0,158318980481.0,88383218233.0,246702198714.0,0.0,8600311970474.0,4026276679791.0,4018438893791.0,2610902622222.0,688004095688.0,95353052369.0,192026679178.0,222296091737.0,46635821517.0,0.0,0.0,72537699996.0,90682831084.0,7837786000.0,0.0,0.0,476006000.0,3700000000.0,0.0,0.0,0.0,4574035290683.0,4574035290683.0,2252935850000.0,968074112458.0,0.0,-2101090000.0,0.0,0.0,313083556918.0,0.0,0.0,1042042861307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600311970474.0,,0.0,0.0,0.0,1240040389.0,0.0,0.0,0.0,0.0,0.0,28457398434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2252935850000.0,0.0,29482225528.0,1012560635779.0,28457398434.0,0.0,0.0
2020-Q1,quarter,PNJ,7097183484440.0,302103503463.0,302103503463.0,0.0,0.0,0.0,0.0,0.0,139070900485.0,53382826315.0,72509054776.0,0.0,0.0,11011528651.0,6588676104694.0,6588676104694.0,67332975798.0,0.0,60429814925.0,6865377559.0,37783314.0,67332975798.0,0.0,1292238930273.0,76235813750.0,0.0,0.0,76235813750.0,936470578613.0,278663174279.0,563385398896.0,0.0,681029430507.0,0.0,-284722224617.0,0.0,-23222026173.0,0.0,0.0,563385398896.0,0.0,681029430507.0,0.0,-284722224617.0,0.0,-23222026173.0,0.0,657807404334.0,563385398896.0,0.0,681029430507.0,0.0,-284722224617.0,0.0,-23222026173.0,0.0,0.0,0.0,563385398896.0,0.0,681029430507.0,0.0,-284722224617.0,0.0,-23222026173.0,0.0,0.0,0.0,395271613400.0,0.0,249837042932.0,0.0,160883811098.0,88953231834.0,249837042932.0,0.0,8389422414713.0,3403894433583.0,3396056647583.0,2411542316831.0,432421276771.0,74832469996.0,158598486391.0,115766034437.0,18393952496.0,0.0,0.0,99854916541.0,84647194120.0,7837786000.0,0.0,0.0,476006000.0,3700000000.0,0.0,0.0,0.0,4985527981130.0,4985527981130.0,2252935850000.0,968074112458.0,0.0,-2101090000.0,0.0,0.0,313083556918.0,0.0,0.0,1453535551754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389422414713.0,,0.0,0.0,0.0,2167490743.0,0.0,0.0,0.0,0.0,0.0,29695494978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2252935850000.0,0.0,1045273381971.0,408262169783.0,29695494978.0,0.0,0.0
2020-Q2,quarter,PNJ,6863106067235.0,229987203630.0,229987203630.0,0.0,0.0,0.0,0.0,0.0,129548501902.0,45798596584.0,68140354530.0,0.0,0.0,14069859353.0,6429976715037.0,6429976715037.0,73593646666.0,0.0,65553686604.0,7970904559.0,69055503.0,73593646666.0,0.0,1299227844894.0,76854821913.0,0.0,0.0,76854821913.0,938076521741.0,283914685867.0,580935131908.0,0.0,681029430507.0,0.0,-297020446041.0,0.0,-26867594633.0,0.0,0.0,580935131908.0,0.0,681029430507.0,0.0,-297020446041.0,0.0,-26867594633.0,0.0,654161835874.0,580935131908.0,0.0,681029430507.0,0.0,-297020446041.0,0.0,-26867594633.0,0.0,0.0,0.0,580935131908.0,0.0,681029430507.0,0.0,-297020446041.0,0.0,-26867594633.0,0.0,0.0,0.0,395271613400.0,0.0,253105230252.0,0.0,164222484028.0,88882746224.0,253105230252.0,0.0,8162333912129.0,3461160621841.0,3453322835841.0,2643717877980.0,172006884466.0,61982838768.0,147907765303.0,160306714166.0,20443833075.0,0.0,0.0,106149400236.0,140807521847.0,7837786000.0,0.0,0.0,476006000.0,3700000000.0,0.0,0.0,0.0,4701173290288.0,4701173290288.0,2252935850000.0,968074112458.0,0.0,-3384090000.0,0.0,0.0,372779556918.0,0.0,0.0,1110767860912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8162333912129.0,,0.0,0.0,0.0,1539691435.0,0.0,0.0,0.0,0.0,0.0,31191270988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2252935850000.0,0.0,670845205971.0,439922654941.0,31191270988.0,0.0,0.0
2020-Q3,quarter,PNJ,6786221907161.0,232282631402.0,232282631402.0,0.0,0.0,0.0,0.0,0.0,152348983567.0,59036808240.0,66233386070.0,0.0,0.0,26585347055.0,6325882645841.0,6325882645841.0,75707646351.0,0.0,67350477475.0,8357168876.0,0.0,75707646351.0,0.0,1304820087941.0,76108442474.0,0.0,0.0,76108442474.0,930591478766.0,279706040356.0,586873157527.0,0.0,681029430507.0,0.0,-307167117171.0,0.0,-30143992097.0,0.0,0.0,586873157527.0,0.0,681029430507.0,0.0,-307167117171.0,0.0,-30143992097.0,0.0,650885438410.0,586873157527.0,0.0,681029430507.0,0.0,-307167117171.0,0.0,-30143992097.0,0.0,0.0,0.0,586873157527.0,0.0,681029430507.0,0.0,-307167117171.0,0.0,-30143992097.0,0.0,0.0,0.0,395271613400.0,0.0,267575282472.0,0.0,178338251629.0,89237030843.0,267575282472.0,0.0,8091041995102.0,3187782828715.0,3179894880715.0,2256805035825.0,144407807649.0,119197760835.0,194904642031.0,186462492422.0,31908457124.0,0.0,0.0,112160564629.0,134048120200.0,7887948000.0,0.0,0.0,526168000.0,3700000000.0,0.0,0.0,0.0,4903259166387.0,4903259166387.0,2252935850000.0,968074112458.0,0.0,-3384090000.0,0.0,0.0,372779556918.0,0.0,0.0,1312853737011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8091041995102.0,,0.0,0.0,0.0,493442202.0,0.0,0.0,0.0,0.0,0.0,30544884229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2252935850000.0,0.0,670845205971.0,642008531040.0,30544884229.0,0.0,0.0
2020-Q4,quarter,PNJ,7144153839482.0,422234781061.0,422234781061.0,0.0,0.0,0.0,0.0,0.0,100363015565.0,67591685619.0,20451588108.0,0.0,0.0,13394293637.0,6544772899429.0,6544772899429.0,76783143427.0,0.0,66112866470.0,10670276957.0,0.0,76783143427.0,0.0,1339217061954.0,77310617360.0,0.0,0.0,77310617360.0,931617117533.0,281244232172.0,600464186725.0,0.0,683791142309.0,0.0,-319219954553.0,0.0,-33418256948.0,0.0,0.0,600464186725.0,0.0,683791142309.0,0.0,-319219954553.0,0.0,-33418256948.0,0.0,650372885361.0,600464186725.0,0.0,683791142309.0,0.0,-319219954553.0,0.0,-33418256948.0,0.0,0.0,0.0,600464186725.0,0.0,683791142309.0,0.0,-319219954553.0,0.0,-33418256948.0,0.0,0.0,0.0,395271613400.0,0.0,297285460058.0,0.0,206301766031.0,90983694027.0,297285460058.0,0.0,8483370901436.0,3241509036428.0,3232132159428.0,1839275064065.0,481821106229.0,157182968364.0,214702472399.0,290765645610.0,55520256916.0,0.0,0.0,76978636900.0,115886008945.0,9376877000.0,0.0,0.0,526168000.0,0.0,0.0,0.0,0.0,5241861865008.0,5241861865008.0,2276123620000.0,991261882458.0,0.0,-3384090000.0,0.0,0.0,372779556918.0,0.0,0.0,1605080895632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8483370901436.0,,0.0,0.0,0.0,128327047.0,0.0,0.0,0.0,0.0,0.0,33003867003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2276123620000.0,0.0,670845205971.0,934235689661.0,33003867003.0,0.0,0.0
2021-Q1,quarter,PNJ,6821147568701.0,213388374979.0,213388374979.0,0.0,0.0,0.0,0.0,0.0,120418640082.0,61192969179.0,48183706864.0,0.0,0.0,11970174389.0,6420735030803.0,6420735030803.0,66605522837.0,0.0,55998926525.0,10606596312.0,0.0,66605522837.0,0.0,1315064563507.0,77589358997.0,0.0,0.0,77589358997.0,917377116513.0,270420829696.0,602919813152.0,0.0,683791742309.0,0.0,-332498983456.0,0.0,-36835455492.0,0.0,0.0,602919813152.0,0.0,683791742309.0,0.0,-332498983456.0,0.0,-36835455492.0,0.0,646956286817.0,602919813152.0,0.0,683791742309.0,0.0,-332498983456.0,0.0,-36835455492.0,0.0,0.0,0.0,602919813152.0,0.0,683791742309.0,0.0,-332498983456.0,0.0,-36835455492.0,0.0,0.0,0.0,395271613400.0,0.0,287170440188.0,0.0,196308248556.0,90862191632.0,287170440188.0,0.0,8136212132208.0,2383262858390.0,2374110981390.0,1111925863523.0,413490071429.0,114385751460.0,212085858151.0,251060289144.0,84652871026.0,0.0,0.0,92099566043.0,94410710614.0,9151877000.0,0.0,0.0,301168000.0,0.0,0.0,0.0,0.0,5752949273818.0,5752949273818.0,2276123620000.0,991261882458.0,0.0,-4908890000.0,0.0,0.0,372779556918.0,0.0,0.0,2117693104442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8136212132208.0,,0.0,0.0,0.0,274668496.0,0.0,0.0,0.0,0.0,0.0,32927647809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2276123620000.0,0.0,1605080895632.0,512612208810.0,32927647809.0,0.0,0.0
2021-Q2,quarter,PNJ,7870491749539.0,249812159909.0,249812159909.0,0.0,0.0,0.0,0.0,0.0,105113932707.0,27155810763.0,64702563720.0,0.0,0.0,14256045594.0,7451118456406.0,7451118456406.0,64447200517.0,0.0,54521836770.0,9911328588.0,14035159.0,64447200517.0,0.0,1305162162313.0,82975928164.0,0.0,0.0,82975928164.0,920192115698.0,261598792994.0,607721554166.0,0.0,697774918988.0,0.0,-346122761172.0,0.0,-39181596284.0,0.0,0.0,607721554166.0,0.0,697774918988.0,0.0,-346122761172.0,0.0,-39181596284.0,0.0,658593322704.0,607721554166.0,0.0,697774918988.0,0.0,-346122761172.0,0.0,-39181596284.0,0.0,0.0,0.0,607721554166.0,0.0,697774918988.0,0.0,-346122761172.0,0.0,-39181596284.0,0.0,0.0,0.0,395271613400.0,0.0,268543499304.0,0.0,186666335287.0,81877164017.0,268543499304.0,0.0,9175653911852.0,3456792784634.0,3447640907634.0,2125777008055.0,379184629647.0,132713498796.0,158089534447.0,291888685020.0,116139908395.0,0.0,0.0,104392816660.0,139454826614.0,9151877000.0,0.0,0.0,301168000.0,0.0,0.0,0.0,0.0,5718861127218.0,5718861127218.0,2276123620000.0,991261882458.0,0.0,-4908890000.0,0.0,0.0,800503556918.0,0.0,0.0,1655880957842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9175653911852.0,,0.0,0.0,0.0,202391476.0,0.0,0.0,0.0,0.0,0.0,33450619147.0,33450619147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2276123620000.0,0.0,920611645232.0,735269312610.0,0.0,0.0,0.0
2021-Q3,quarter,PNJ,7887307408212.0,192167536492.0,192167536492.0,0.0,0.0,0.0,0.0,0.0,130549895333.0,27761075083.0,88334752951.0,0.0,0.0,15353188177.0,7509947396534.0,7509947396534.0,54642579853.0,0.0,45311034712.0,9331545141.0,0.0,54642579853.0,0.0,1281574284269.0,82687340927.0,0.0,0.0,82687340927.0,907945361625.0,252769237465.0,609372262097.0,0.0,698845976739.0,0.0,-356603024632.0,0.0,-43669852579.0,0.0,0.0,609372262097.0,0.0,698845976739.0,0.0,-356603024632.0,0.0,-43669852579.0,0.0,655176124160.0,609372262097.0,0.0,698845976739.0,0.0,-356603024632.0,0.0,-43669852579.0,0.0,0.0,0.0,609372262097.0,0.0,698845976739.0,0.0,-356603024632.0,0.0,-43669852579.0,0.0,0.0,0.0,395271613400.0,0.0,257490962570.0,0.0,175099517123.0,82391445447.0,257490962570.0,0.0,9168881692481.0,3609548956327.0,3600397079327.0,2418927507939.0,311365911858.0,162632431069.0,109456822717.0,250864628947.0,113710406371.0,0.0,0.0,100906556409.0,132532814017.0,9151877000.0,0.0,0.0,301168000.0,0.0,0.0,0.0,0.0,5559332736154.0,5559332736154.0,2276123620000.0,991261882458.0,0.0,-4908890000.0,0.0,0.0,800503556918.0,0.0,0.0,1496352566778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9168881692481.0,,0.0,0.0,0.0,303757968.0,0.0,0.0,0.0,0.0,0.0,33450619147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2276123620000.0,0.0,920611645232.0,575740921546.0,33450619147.0,0.0,0.0
2021-Q4,quarter,PNJ,9220118021024.0,357670904557.0,357670904557.0,0.0,0.0,0.0,0.0,0.0,110020597981.0,59935266423.0,32879654451.0,0.0,0.0,18351620664.0,8686598916157.0,8686598916157.0,65827602329.0,0.0,56816921380.0,8705831517.0,304849432.0,65827602329.0,0.0,1326524308701.0,83831506164.0,0.0,0.0,83831506164.0,909985491983.0,259137188160.0,633614629426.0,0.0,698845976739.0,0.0,-374477441266.0,0.0,-47997672916.0,0.0,0.0,633614629426.0,0.0,698845976739.0,0.0,-374477441266.0,0.0,-47997672916.0,0.0,650848303823.0,633614629426.0,0.0,698845976739.0,0.0,-374477441266.0,0.0,-47997672916.0,0.0,0.0,0.0,633614629426.0,0.0,698845976739.0,0.0,-374477441266.0,0.0,-47997672916.0,0.0,0.0,0.0,395271613400.0,0.0,301911940704.0,0.0,201443147089.0,100468793615.0,301911940704.0,0.0,10546642329725.0,4530132101076.0,4521070917076.0,2721930701144.0,688911706167.0,150380769671.0,267195903558.0,385144216152.0,99663906185.0,0.0,0.0,81661534039.0,126182180160.0,9061184000.0,0.0,0.0,218668000.0,0.0,0.0,0.0,0.0,6016510228649.0,6016510228649.0,2276123620000.0,991261882458.0,0.0,-4908890000.0,0.0,0.0,800503556918.0,0.0,0.0,1953530059273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10546642329725.0,,0.0,0.0,0.0,858854520.0,0.0,0.0,0.0,0.0,0.0,30795369850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2276123620000.0,0.0,920611645232.0,1032918414041.0,30795369850.0,0.0,0.0
2022-Q1,quarter,PNJ,10092832404086.0,2450596250067.0,2450596250067.0,0.0,0.0,0.0,0.0,0.0,131493899893.0,63076396706.0,43381886893.0,0.0,0.0,25605848934.0,7448444344430.0,7448444344430.0,62297909696.0,0.0,50929461317.0,7070122090.0,4298326289.0,62297909696.0,0.0,1317373237619.0,85386002764.0,0.0,0.0,85386002764.0,894266197733.0,247176575626.0,636626235966.0,0.0,697774918988.0,0.0,-389449660340.0,0.0,-50685296881.0,0.0,0.0,636626235966.0,0.0,697774918988.0,0.0,-389449660340.0,0.0,-50685296881.0,0.0,647089622107.0,636626235966.0,0.0,697774918988.0,0.0,-389449660340.0,0.0,-50685296881.0,0.0,0.0,0.0,636626235966.0,0.0,697774918988.0,0.0,-389449660340.0,0.0,-50685296881.0,0.0,0.0,0.0,395271613400.0,0.0,306946265512.0,0.0,206156100246.0,100790165266.0,306946265512.0,0.0,11410205641705.0,3401972397021.0,3324873267299.0,1831480344426.0,487149447743.0,146405849411.0,222380436853.0,304907887326.0,93495240164.0,0.0,0.0,90585760325.0,118338994563.0,77099129722.0,0.0,0.0,218668000.0,0.0,0.0,0.0,0.0,8008233244684.0,8008233244684.0,2426123620000.0,2252208432458.0,0.0,-4908890000.0,0.0,0.0,800503556918.0,0.0,0.0,2534306525308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11410205641705.0,,0.0,0.0,0.0,1434565437.0,0.0,0.0,0.0,0.0,0.0,30774771610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2426123620000.0,0.0,1813233873077.0,721072652231.0,30774771610.0,0.0,0.0
