"ID tài sản video","ID video chung","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Nhãn tùy chỉnh","Bình luận về dữ liệu",Ngày,"Số người tiếp cận","Lượt xem video trong tối thiểu 3 giây","Lượt xem video trong tối thiểu 1 phút","Số Giây xem","Số Giây xem trung bình","Số người xem trong tối thiểu 3 giây","Số người xem trong tối thiểu 1 phút","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ"
830824219613308,,198980770851754,"Chim Cút",,1152,"05/09/2026 08:00",,,"Trọn đời",191789,69116,8086,4956739.87,27.024,67617,7942,4878,3165,29,1684
1417498307084191,,198980770851754,"Chim Cút",,946,"05/09/2026 23:30",,,"Trọn đời",5791,2302,163,66812.863,9.735,2052,159,86,70,4,12
1486869416248389,,198980770851754,"Chim Cút",,999,"05/13/2026 06:00",,,"Trọn đời",18732,5665,664,376329.206,19.949,5546,617,403,273,4,126
4206370609611621,,198980770851754,"Chim Cút",,755,"05/13/2026 07:00",,,"Trọn đời",117813,46019,8676,4076027.437,34.951,43436,8198,3520,2482,25,1013
1632086094576577,,198980770851754,"Chim Cút",,1272,"05/14/2026 06:00",,,"Trọn đời",116327,36090,5320,3002021.646,25.969,35825,5284,2887,2063,33,791
1502845628155547,,198980770851754,"Chim Cút",,1839,"05/14/2026 08:00",,,"Trọn đời",5306,2004,216,128571.118,23.22,1935,203,94,75,0,19
1344812660798640,,198980770851754,"Chim Cút",,1156,"05/15/2026 06:09",,,"Trọn đời",20281,6461,856,472445.535,23.126,6271,829,439,328,4,107
1770306470481149,,198980770851754,"Chim Cút",,1308,"05/15/2026 08:00",,,"Trọn đời",8458,2644,440,167827.094,20.341,2619,428,137,116,1,20
866837783108741,,198980770851754,"Chim Cút",,1218,"05/16/2026 00:00",,,"Trọn đời",16720,5223,548,285786.471,17.001,5160,542,296,239,0,57
1331578092229229,,198980770851754,"Chim Cút",,1509,"05/16/2026 08:00",,,"Trọn đời",18366,5043,697,345205.369,18.99,5043,642,357,270,1,86
1017109977358735,,198980770851754,"Chim Cút",,5977,"05/17/2026 00:00",,,"Trọn đời",109930,68618,5484,2368004.947,21.048,67330,5437,2961,2256,11,694
962385153065504,,198980770851754,"Chim Cút",,2363,"05/17/2026 06:26",,,"Trọn đời",12157,4007,662,323886.641,26.572,3720,646,238,183,6,49
950786014609230,,198980770851754,"Chim Cút",,865,"05/17/2026 07:29",,,"Trọn đời",1169,523,111,47288.387,32.256,465,105,17,14,1,2
27282018224736898,,198980770851754,"Chim Cút",,691,"05/17/2026 08:00",,,"Trọn đời",7493,2248,246,110258.414,14.897,2199,237,172,146,0,26
911409075290873,,198980770851754,"Chim Cút",,7047,"05/22/2026 05:47",,,"Trọn đời",10099,3251,372,230198.548,20.534,3028,298,164,125,1,38
1337980884885972,,198980770851754,"Chim Cút",,1727,"05/23/2026 06:00",,,"Trọn đời",5603,1674,118,55371.163,10.178,1547,113,94,79,1,14
2149420962575153,,198980770851754,"Chim Cút",,30,"05/23/2026 07:30",,,"Trọn đời",29507,12901,0,319295.119,11.049,12901,0,264,237,1,26
1604714893975843,,198980770851754,"Chim Cút",,2434,"05/24/2026 05:39",,,"Trọn đời",1253,607,76,56475.14,36.578,534,63,40,29,2,9
1971702000138210,,198980770851754,"Chim Cút",,7630,"05/29/2026 06:00",,,"Trọn đời",7895,2390,266,140472.284,15.86,2288,254,138,113,1,24
26835519309461955,,198980770851754,"Chim Cút",,8136,"05/30/2026 06:00",,,"Trọn đời",13228,4597,386,209141.151,15.317,4451,359,292,214,10,68
1693297878764919,,198980770851754,"Chim Cút",,4756,"05/31/2026 06:00",,,"Trọn đời",8031,3592,369,187074.197,20.602,3314,334,254,195,2,57
1727388572009274,,198980770851754,"Chim Cút",,928,"06/11/2026 06:00",,,"Trọn đời",6035,2534,250,105702.064,16.413,2518,242,195,166,2,27
1699471334397517,,198980770851754,"Chim Cút",,840,"06/11/2026 07:30",,,"Trọn đời",3860,1395,147,68028.047,17.296,1314,140,73,59,1,13
1726643688340706,,198980770851754,"Chim Cút",,486,"06/12/2026 02:00",,,"Trọn đời",3948,1900,174,72257.137,16.831,1782,171,93,77,2,14
1501850994769257,,198980770851754,"Chim Cút",,705,"06/12/2026 06:00",,,"Trọn đời",6063,2153,296,95304.436,15.649,2101,279,133,112,1,20
4028940750742251,,198980770851754,"Chim Cút",,646,"06/12/2026 07:30",,,"Trọn đời",54879,22254,2168,869261.902,15.062,21399,2168,2166,1607,13,546
1366229622049115,,198980770851754,"Chim Cút",,330,"06/12/2026 22:30",,,"Trọn đời",2170,683,78,28722.209,12.724,627,74,57,46,2,9
1351913580333789,,198980770851754,"Chim Cút",,495,"06/13/2026 02:35",,,"Trọn đời",2071,516,53,26544.02,12.264,475,50,30,27,0,3
4351422458414307,,198980770851754,"Chim Cút",,917,"06/13/2026 06:02",,,"Trọn đời",39851,16826,1880,746083.009,17.966,15837,1880,1301,996,6,299
1748076746349778,,198980770851754,"Chim Cút",,699,"06/13/2026 07:30",,,"Trọn đời",14697,6714,671,273105.763,17.825,6567,661,310,257,3,50
978469185102692,,198980770851754,"Chim Cút",,477,"06/13/2026 22:30",,,"Trọn đời",2258,848,79,38935.489,17.39,819,73,42,40,0,2
1961425524577936,,198980770851754,"Chim Cút",,698,"06/14/2026 06:00",,,"Trọn đời",3240,924,85,36569.358,12.3,923,81,59,46,1,12
1652648805965181,,198980770851754,"Chim Cút",,1276,"06/14/2026 07:30",,,"Trọn đời",4704,1525,101,45706.429,10.454,1432,98,77,64,1,12
976779281845933,,198980770851754,"Chim Cút",,334,"06/15/2026 04:00",,,"Trọn đời",3714,948,87,30938.723,8.819,895,82,73,50,2,21
1562639712105984,,198980770851754,"Chim Cút",,673,"06/15/2026 06:00",,,"Trọn đời",3840,1368,124,51374.242,13.206,1351,123,86,72,0,14
1983599122521001,,198980770851754,"Chim Cút",,505,"06/15/2026 07:30",,,"Trọn đời",4391,1356,119,49853.199,11.226,1279,111,98,74,6,18
1523460529284836,,198980770851754,"Chim Cút",,752,"06/16/2026 06:00",,,"Trọn đời",3968,1312,135,55838.596,14.617,1280,133,93,78,1,14
1495551938375131,,198980770851754,"Chim Cút",,871,"06/16/2026 07:30",,,"Trọn đời",7791,2584,217,74118.397,10.904,2444,210,121,94,7,20
862892126871329,,198980770851754,"Chim Cút",,794,"06/17/2026 06:00",,,"Trọn đời",10546,4465,392,173329.226,16.567,4307,367,374,289,3,82
1015600290882184,,198980770851754,"Chim Cút",,748,"06/17/2026 07:30",,,"Trọn đời",25550,9951,828,358878.825,13.623,9759,813,819,656,2,161
2265981987547972,,198980770851754,"Chim Cút",,680,"06/18/2026 06:00",,,"Trọn đời",2831,825,66,25335.987,9.159,809,65,46,38,0,8
1475607490545741,,198980770851754,"Chim Cút",,766,"06/18/2026 07:30",,,"Trọn đời",3867,1326,120,54536.045,14.287,1267,119,86,70,0,16
1012719207806858,,198980770851754,"Chim Cút",,782,"06/19/2026 06:00",,,"Trọn đời",3370,952,64,32752.25,10.257,942,63,65,52,3,10
1007422555202825,,198980770851754,"Chim Cút",,1691,"06/19/2026 07:25",,,"Trọn đời",8640,3637,299,157965.11,18.113,3589,288,193,158,0,35
1316152173420293,,198980770851754,"Chim Cút",,474,"06/20/2026 02:31",,,"Trọn đời",1730,372,22,11355.376,6.861,357,22,19,16,0,3
1538278977851051,,198980770851754,"Chim Cút",,772,"06/20/2026 06:00",,,"Trọn đời",2184,607,39,17482.927,8.883,592,39,26,25,0,1
957468480458169,,198980770851754,"Chim Cút",,840,"06/20/2026 07:43",,,"Trọn đời",1907,628,27,16995.135,8.953,567,23,28,20,0,8
1700709314285723,,198980770851754,"Chim Cút",,925,"06/20/2026 22:32",,,"Trọn đời",3206,1058,63,37843.467,12.703,1013,57,59,49,4,6
1040007081731732,,198980770851754,"Chim Cút",,804,"06/21/2026 00:54",,,"Trọn đời",7265,2786,182,77815.661,10.195,2491,167,76,55,10,11
1290433713073522,,198980770851754,"Chim Cút",,851,"06/21/2026 06:00",,,"Trọn đời",2598,786,56,28151.914,11.309,749,55,59,50,0,9
997975066169074,,198980770851754,"Chim Cút",,848,"06/21/2026 07:30",,,"Trọn đời",2623,959,43,24516.075,9.629,931,41,43,30,1,12
2065651547386095,,198980770851754,"Chim Cút",,58,"06/22/2026 00:35",,,"Trọn đời",413,197,,5112.343,16.044,,,26,25,1,0
974586185557088,,198980770851754,"Chim Cút",,575,"06/22/2026 02:30",,,"Trọn đời",2071,632,35,19216.229,9.059,585,30,29,19,0,10
1794631544834613,,198980770851754,"Chim Cút",,1301,"06/22/2026 06:00",,,"Trọn đời",2255,611,41,20639.897,9.842,575,41,23,21,0,2
2243191796431472,,198980770851754,"Chim Cút",,782,"06/22/2026 07:30",,,"Trọn đời",2784,1068,53,27178.91,9.378,1021,52,48,43,0,5
1539571750900365,,198980770851754,"Chim Cút",,742,"06/23/2026 06:00",,,"Trọn đời",1972,557,40,19369.81,9.817,517,38,29,26,0,3
1509552420577482,,198980770851754,"Chim Cút",,771,"06/23/2026 07:30",,,"Trọn đời",2225,790,34,21484.255,9.096,740,32,37,32,0,5
1585263146942907,,198980770851754,"Chim Cút",,926,"06/24/2026 06:00",,,"Trọn đời",1388,379,25,12412.509,8.956,363,24,26,24,0,2
1342471521314964,,198980770851754,"Chim Cút",,773,"06/24/2026 07:30",,,"Trọn đời",1537,559,28,11610.148,7.426,533,28,32,25,0,7
2759970984373485,,198980770851754,"Chim Cút",,679,"06/25/2026 06:03",,,"Trọn đời",1337,406,14,7644.404,5.829,395,14,24,17,1,6
993811260303701,,198980770851754,"Chim Cút",,861,"06/25/2026 07:30",,,"Trọn đời",1666,674,32,18068.313,10.672,624,32,34,28,1,5
954239497659910,,198980770851754,"Chim Cút",,944,"06/26/2026 06:00",,,"Trọn đời",993,272,14,5461.597,5.613,259,12,14,10,1,3
990408510388602,,198980770851754,"Chim Cút",,844,"06/26/2026 07:30",,,"Trọn đời",1358,466,29,14096.653,10.284,450,28,35,28,2,5
28011448131790544,,198980770851754,"Chim Cút",,477,"06/26/2026 22:38",,,"Trọn đời",869,234,6,3686.961,4.233,219,6,11,9,0,2
1010207348034050,,198980770851754,"Chim Cút",,499,"06/27/2026 02:30",,,"Trọn đời",904,221,9,4995.433,5.696,216,8,17,10,0,7
1537693464447433,,198980770851754,"Chim Cút",,889,"06/27/2026 06:00",,,"Trọn đời",1372,373,24,10852.847,8.4,361,24,19,16,0,3
991500500546469,,198980770851754,"Chim Cút",,862,"06/27/2026 07:30",,,"Trọn đời",1108,291,28,13218.172,12.227,286,27,16,14,0,2
1272880348001696,,198980770851754,"Chim Cút",,590,"06/27/2026 22:30",,,"Trọn đời",1154,296,19,10292.403,8.996,284,19,24,19,0,5
4466311293650879,,198980770851754,"Chim Cút",,361,"06/28/2026 02:30",,,"Trọn đời",1180,369,12,6811.671,5.971,357,12,17,11,0,6
3291177507748680,,198980770851754,"Chim Cút",,1390,"06/28/2026 06:00",,,"Trọn đời",2036,674,91,40484.003,20.415,674,88,41,37,0,4
1513394690493007,,198980770851754,"Chim Cút",,795,"06/28/2026 07:30",,,"Trọn đời",1295,467,22,11568.392,9.3,444,21,26,26,0,0
2072923824108106,,198980770851754,"Chim Cút",,923,"06/29/2026 06:00",,,"Trọn đời",1191,364,14,20121.898,17.759,343,12,23,20,0,3
1616608142771066,,198980770851754,"Chim Cút",,680,"06/29/2026 07:30",,,"Trọn đời",2234,823,32,16197.062,7.444,763,30,55,36,6,13
1314228760836281,,198980770851754,"Chim Cút",,731,"06/30/2026 06:00",,,"Trọn đời",2184,662,38,18574.296,8.96,662,38,46,40,0,6
839424458948195,,198980770851754,"Chim Cút",,928,"06/30/2026 07:30",,,"Trọn đời",1610,480,28,17645.344,11.693,480,28,21,18,0,3
4678254575768478,,198980770851754,"Chim Cút",,922,"07/01/2026 06:00",,,"Trọn đời",2099,639,51,24449.128,12.145,619,50,32,28,0,4
1236869005050728,,198980770851754,"Chim Cút",,680,"07/01/2026 07:30",,,"Trọn đời",1988,524,42,17271.755,9.351,513,42,30,24,1,5
2008216883111119,,198980770851754,"Chim Cút",,895,"07/02/2026 06:00",,,"Trọn đời",2222,883,80,25698.115,12.076,866,80,43,38,0,5
2545934349198364,,198980770851754,"Chim Cút",,684,"07/02/2026 07:30",,,"Trọn đời",1730,527,36,17868.235,10.443,508,36,23,22,0,1
2824801641198017,,198980770851754,"Chim Cút",,566,"07/03/2026 06:00",,,"Trọn đời",2917,1093,212,63611.309,21.928,1034,211,91,74,1,16
1336374131348732,,198980770851754,"Chim Cút",,1061,"07/03/2026 07:30",,,"Trọn đời",2187,835,60,23099.682,10.957,825,59,48,42,2,4
1350230670347775,,198980770851754,"Chim Cút",,342,"07/03/2026 22:30",,,"Trọn đời",1815,565,32,17170.71,9.851,556,31,42,33,3,6
