"ID tài sản video","ID video chung","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Nhãn tùy chỉnh","Bình luận về dữ liệu",Ngày,"Số người tiếp cận","Lượt xem video trong tối thiểu 3 giây","Số Giây xem","Số Giây xem trung bình","Lượt xem video trong tối thiểu 3 giây từ Bài viết đã quảng cáo","Lượt xem video trong tối thiểu 3 giây từ Bài viết tự nhiên","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ","Lượt xem video trong tối thiểu 1 phút","Số người xem trong tối thiểu 3 giây","Số người xem trong tối thiểu 1 phút"
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/01/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/02/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/03/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/04/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/05/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/06/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/08/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/09/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/10/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/11/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/12/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/13/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/14/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
950482020985703,,198980770851754,"Chim Cút",,10,"02/28/2026 03:08",,,02/15/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
