"ID tài sản video","ID video chung","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Nhãn tùy chỉnh","Bình luận về dữ liệu",Ngày,"Số người tiếp cận","Lượt xem video trong tối thiểu 3 giây","Lượt xem video trong tối thiểu 1 phút","Số Giây xem","Số Giây xem trung bình","Số người xem trong tối thiểu 3 giây","Số người xem trong tối thiểu 1 phút","Lượt xem video trong tối thiểu 3 giây từ Bài viết đã quảng cáo","Lượt xem video trong tối thiểu 3 giây từ Bài viết tự nhiên","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ"
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/01/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/02/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/03/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/04/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/05/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/06/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/08/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/09/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/10/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/11/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/12/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/13/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/14/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/15/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/17/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/18/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/19/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/20/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/21/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/22/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/23/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/24/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/25/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/26/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/27/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/28/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/29/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/30/2026,0,0,0,0.689,0.689,0,0,0,0,0,0,0,0
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,03/31/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/01/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/02/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/03/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/04/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/05/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/06/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/08/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/09/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/10/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/11/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/12/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/13/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/14/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/15/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/17/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/18/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/19/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/20/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/21/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/22/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,03/23/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
